"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1091","test_delete_ad_success","tests","Sun May 04 14:09:20 GET 2025","passed","Sun May 04 14:09:22 GET 2025","TestAdDelete","test_delete_ad","",""
"","492","test_registration_w_exist_email","tests","Sun May 04 13:58:28 GET 2025","passed","Sun May 04 13:58:29 GET 2025","TestUserRegistration","test_user_registration","",""
"","1513","Обновление поля ""category"", значение ""Книги""","tests","Sun May 04 14:06:57 GET 2025","passed","Sun May 04 14:06:58 GET 2025","TestAdUpdate","test_update_ad","",""
"","1064","Создание объявления в категории ""Авто""","tests","Sun May 04 14:02:32 GET 2025","passed","Sun May 04 14:02:33 GET 2025","TestAdCreation","test_ad_creation","",""
"","1632","Создание объявления в категории ""Хобби""","tests","Sun May 04 14:02:36 GET 2025","passed","Sun May 04 14:02:38 GET 2025","TestAdCreation","test_ad_creation","",""
"","1536","Обновление поля ""price"", значение ""6269""","tests","Sun May 04 14:07:47 GET 2025","passed","Sun May 04 14:07:48 GET 2025","TestAdUpdate","test_update_ad","",""
"","1139","Создание объявления в категории ""Книги""","tests","Sun May 04 14:02:33 GET 2025","passed","Sun May 04 14:02:34 GET 2025","TestAdCreation","test_ad_creation","",""
"","1095","Создание объявления в категории ""Технологии""","tests","Sun May 04 14:02:38 GET 2025","passed","Sun May 04 14:02:40 GET 2025","TestAdCreation","test_ad_creation","",""
"","469","test_login_success","tests","Sun May 04 13:59:12 GET 2025","passed","Sun May 04 13:59:13 GET 2025","TestUserLogin","test_user_login","",""
"","527","test_registration_success","tests","Sun May 04 13:58:13 GET 2025","passed","Sun May 04 13:58:14 GET 2025","TestUserRegistration","test_user_registration","",""
"","1070","Создание объявления в категории ""Садоводство""","tests","Sun May 04 14:02:35 GET 2025","passed","Sun May 04 14:02:36 GET 2025","TestAdCreation","test_ad_creation","",""
"","1530","Обновление поля ""description"", значение ""Сынок голубчик наслаждение покидать грудь лететь. Падаль цель житель. Плясать смелый пропадать.""","tests","Sun May 04 14:07:45 GET 2025","passed","Sun May 04 14:07:46 GET 2025","TestAdUpdate","test_update_ad","",""
"","1766","test_update_ad_image","tests","Sun May 04 14:04:44 GET 2025","passed","Sun May 04 14:04:46 GET 2025","TestAdUpdate","test_update_ad","",""
"","1692","Обновление поля ""condition"", значение ""Б/У""","tests","Sun May 04 14:06:59 GET 2025","passed","Sun May 04 14:07:00 GET 2025","TestAdUpdate","test_update_ad","",""
"","1962","test_update_listing_by_other_user","tests","Sun May 04 14:05:01 GET 2025","passed","Sun May 04 14:05:03 GET 2025","TestAdUpdate","test_update_ad","",""
"","1500","Обновление поля ""name"", значение ""Строительство рассуждение запретить отражение.""","tests","Sun May 04 14:06:55 GET 2025","passed","Sun May 04 14:06:56 GET 2025","TestAdUpdate","test_update_ad","",""
"","1489","Обновление поля ""city"", значение ""Екатеринбург""","tests","Sun May 04 14:07:43 GET 2025","passed","Sun May 04 14:07:44 GET 2025","TestAdUpdate","test_update_ad","",""
